title,releasedate,budget,boxOffice,runtime,movieLanguage
King of Burlesque,1936-01-03,,$1.1 million,90,English
She,1935-07-12,,,102,English
Top Hat,1935-08-29,"$609,000",$3.2 million,101,English
The Lives of a Bengal Lancer,1935-01-11,,$1.5 million,109,English
David Copperfield,1935-01-18,"$1,073,000","$3,064,000",129,English
Les Misérables,1935-04-20,,,103,English
A Midsummer Night's Dream,1935-10-30,"$981,000",$1.2 million,133,English
The Great Ziegfeld,1936-03-22,$2.183 million,"$4,673,000",177,English
Anthony Adverse,1936-07-29,"$1,192,000","$2,750,000",141,English
Dodsworth,1936-09-23,,$1.6 million,101,English
Libeled Lady,1936-10-09,"$603,000","$2,723,000",98,English
Mr. Deeds Goes to Town,1936-04-12,"$845,710 or $500,000",$2.5 million,116,English
Romeo and Juliet,1936-08-20,$2 million,"$962,000  $1,113,000",125,English
San Francisco,1936-06-26,$1.3 million,$5.3 million,115,English
The Story of Louis Pasteur,1936-02-22,,,87,English
A Tale of Two Cities,1935-12-27,"$1,232,000",$2.3 million,123,English
Three Smart Girls,1936-12-20,"$326,000 or $319,107","$1,635,800",84,English
Mr. Deeds Goes to Town,1936-04-12,"$845,710 or $500,000",$2.5 million,116,English
Dodsworth,1936-09-23,,$1.6 million,101,English
The Great Ziegfeld,1936-03-22,$2.183 million,"$4,673,000",177,English
My Man Godfrey,1936-09-06,"$575,375","$684,200",94,English
San Francisco,1936-06-26,$1.3 million,$5.3 million,115,English
The Story of Louis Pasteur,1936-02-22,,,87,English
Mr. Deeds Goes to Town,1936-04-12,"$845,710 or $500,000",$2.5 million,116,English
Dodsworth,1936-09-23,,$1.6 million,101,English
My Man Godfrey,1936-09-06,"$575,375","$684,200",94,English
San Francisco,1936-06-26,$1.3 million,$5.3 million,115,English
The Great Ziegfeld,1936-03-22,$2.183 million,"$4,673,000",177,English
Theodora Goes Wild,1936-11-12,,$1.1 million,94,English
Valiant Is the Word for Carrie,1936-10-02,,,110,English
My Man Godfrey,1936-09-06,"$575,375","$684,200",94,English
Romeo and Juliet,1936-08-20,$2 million,"$962,000  $1,113,000",125,English
Come and Get It,1936-11-06,,,99,English
My Man Godfrey,1936-09-06,"$575,375","$684,200",94,English
Pigskin Parade,1936-10-23,,"$900,000",93,English
Romeo and Juliet,1936-08-20,$2 million,"$962,000  $1,113,000",125,English
The General Died at Dawn,1936-09-02,,,98,English
Anthony Adverse,1936-07-29,"$1,192,000","$2,750,000",141,English
The Gorgeous Hussy,1936-08-28,"$1,119,000","$2,019,000",103,English
My Man Godfrey,1936-09-06,"$575,375","$684,200",94,English
These Three,1936-03-18,,,93,English
Dodsworth,1936-09-23,,$1.6 million,101,English
The Story of Louis Pasteur,1936-02-22,,,87,English
Fury,1936-06-05,"$604,000",$1.3 million,92,English
The Great Ziegfeld,1936-03-22,$2.183 million,"$4,673,000",177,English
San Francisco,1936-06-26,$1.3 million,$5.3 million,115,English
Three Smart Girls,1936-12-20,"$326,000 or $319,107","$1,635,800",84,English
The Story of Louis Pasteur,1936-02-22,,,87,English
After the Thin Man,1936-12-25,"$673,000 (est.)","$3,165,000",112,English
Dodsworth,1936-09-23,,$1.6 million,101,English
Mr. Deeds Goes to Town,1936-04-12,"$845,710 or $500,000",$2.5 million,116,English
My Man Godfrey,1936-09-06,"$575,375","$684,200",94,English
Bored of Education,1936-08-20,,,10,English
Moscow Moods,1936,,,,English
Wanted - A Master,1936-12,,,10,English
The Public Pays,1936-10-10,,,19,English
Double or Nothing,1936-01-18,,,21,English
Dummy Ache,1936-07-10,,,18,English
Give Me Liberty,1936-12-19,,,22,English
La Fiesta de Santa Barbara,1935-12-07,,,19,English
The Country Cousin,1936-10-31,,,9,English
The Old Mill Pond,1936-03-07,,,8,English
Popeye the Sailor Meets Sindbad the Sailor,1936-11-27,,,16,English
Anthony Adverse,1936-07-29,"$1,192,000","$2,750,000",141,English
The Charge of the Light Brigade,1936-10-20,"$1,330,000 or $1,076,000","$3,382,000",115,English
The Garden of Allah,1936-11-19,,$2.7 million,79,English
The General Died at Dawn,1936-09-02,,,98,English
Winterset,1936-11-20,"$407,000","$682,000",77,English
Swing Time,1936-08-27,"$886,000",$2.6 million,103,English
Suzy,1936-07-20,,,93,English
Born to Dance,1936-11-27,,,106,English
The Trail of the Lonesome Pine,1936-03-13,"$621,864",$1.7 million,102,English
Pennies from Heaven,1936-11-25,,,81,English
"Sing, Baby, Sing",1936-08-21,,$1 million,90,English
San Francisco,1936-06-26,$1.3 million,$5.3 million,115,English
Banjo on My Knee,1936-12-11,,,95,English
The Charge of the Light Brigade,1936-10-20,"$1,330,000 or $1,076,000","$3,382,000",115,English
Dodsworth,1936-09-23,,$1.6 million,101,English
General Spanky,1936-12-11,,,71,English
Mr. Deeds Goes to Town,1936-04-12,"$845,710 or $500,000",$2.5 million,116,English
The Texas Rangers,1936-08-28,,,98,English
That Girl from Paris,1936-12-31,"$534,000",$1 million,104,English
Three Smart Girls,1936-12-20,"$326,000 or $319,107","$1,635,800",84,English
Dodsworth,1936-09-23,,$1.6 million,101,English
Anthony Adverse,1936-07-29,"$1,192,000","$2,750,000",141,English
The Great Ziegfeld,1936-03-22,$2.183 million,"$4,673,000",177,English
Lloyd's of London,1936-11-25,"$850,000–$1,000,000",$2 million,115,English
The Magnificent Brute,1936-10-11,,,80,English
Romeo and Juliet,1936-08-20,$2 million,"$962,000  $1,113,000",125,English
Winterset,1936-11-20,"$407,000","$682,000",77,English
Anthony Adverse,1936-07-29,"$1,192,000","$2,750,000",141,English
The General Died at Dawn,1936-09-02,,,98,English
The Gorgeous Hussy,1936-08-28,"$1,119,000","$2,019,000",103,English
Anthony Adverse,1936-07-29,"$1,192,000","$2,750,000",141,English
Come and Get It,1936-11-06,,,99,English
The Great Ziegfeld,1936-03-22,$2.183 million,"$4,673,000",177,English
Lloyd's of London,1936-11-25,"$850,000–$1,000,000",$2 million,115,English
A Tale of Two Cities,1935-12-27,"$1,232,000",$2.3 million,123,English
Theodora Goes Wild,1936-11-12,,$1.1 million,94,English
The Great Ziegfeld,1936-03-22,$2.183 million,"$4,673,000",177,English
Born to Dance,1936-11-27,,,106,English
Cain and Mabel,1936-09-26,,,90,English
Dancing Pirate,1936-05-22,,,83,English
Gold Diggers of 1937,1936-12-26,,,101,English
One in a Million,1936-12-31,,$1.3 million,95,English
Swing Time,1936-08-27,"$886,000",$2.6 million,103,English
The Charge of the Light Brigade,1936-10-20,"$1,330,000 or $1,076,000","$3,382,000",115,English
Anthony Adverse,1936-07-29,"$1,192,000","$2,750,000",141,English
The Garden of Allah,1936-11-19,,$2.7 million,79,English
The Last of the Mohicans,1936-09-04,,,92,English
San Francisco,1936-06-26,$1.3 million,$5.3 million,115,English
The Life of Emile Zola,1937-08-11,,,116,English
The Awful Truth,1937-10-21,"$600,000 ($13.1 million in 2024 dollars)",Over $3 million,91,English
Captains Courageous,1937-05-11,$1.6 million,$3.1 million,117,English
Dead End,1937-08-27,"$900,000 (est)",,93,English
The Good Earth,1937-01-29,"$2,816,000","$3,557,000",138,English
In Old Chicago,1938-01-06,over $1 million,$1.964 million,96,English
Lost Horizon,1937-03-02,$2 million,$3.5 million,132,English
One Hundred Men and a Girl,1937-09-05,"$762,000 or $733,000","$2,270,200",85,English
Stage Door,1937-10-08,"$952,000",$1.8 million,92,English
A Star Is Born,1937-04-20,$1.2 million,$2.37 million,111,English
The Awful Truth,1937-10-21,"$600,000 ($13.1 million in 2024 dollars)",Over $3 million,91,English
The Good Earth,1937-01-29,"$2,816,000","$3,557,000",138,English
The Life of Emile Zola,1937-08-11,,,116,English
Stage Door,1937-10-08,"$952,000",$1.8 million,92,English
A Star Is Born,1937-04-20,$1.2 million,$2.37 million,111,English
Captains Courageous,1937-05-11,$1.6 million,$3.1 million,117,English
Conquest,1937-10-22,"$2,732,000","$2,141,000",113,English
A Star Is Born,1937-04-20,$1.2 million,$2.37 million,111,English
Night Must Fall,1937-04-30,"$589,000 (est.)","$1,015,000",116,English
The Life of Emile Zola,1937-08-11,,,116,English
The Good Earth,1937-01-29,"$2,816,000","$3,557,000",138,English
The Awful Truth,1937-10-21,"$600,000 ($13.1 million in 2024 dollars)",Over $3 million,91,English
Camille,1936-12-12,"$1,486,000","$2,842,000",109,English
A Star Is Born,1937-04-20,$1.2 million,$2.37 million,111,English
Stella Dallas,1937-08-06,,$2 million,106,English
The Life of Emile Zola,1937-08-11,,,116,English
The Awful Truth,1937-10-21,"$600,000 ($13.1 million in 2024 dollars)",Over $3 million,91,English
The Hurricane,1937-11-09,$2 million (estimated),$3.2 million,110,English
Lost Horizon,1937-03-02,$2 million,$3.5 million,132,English
Topper,1937-07-16,"$500,000 (proposed)",$2 million,97,English
In Old Chicago,1938-01-06,over $1 million,$1.964 million,96,English
Stage Door,1937-10-08,"$952,000",$1.8 million,92,English
Stella Dallas,1937-08-06,,$2 million,106,English
Dead End,1937-08-27,"$900,000 (est)",,93,English
Night Must Fall,1937-04-30,"$589,000 (est.)","$1,015,000",116,English
A Star Is Born,1937-04-20,$1.2 million,$2.37 million,111,English
Black Legion,1937-01-27,"$235,000",,83,English
In Old Chicago,1938-01-06,over $1 million,$1.964 million,96,English
The Life of Emile Zola,1937-08-11,,,116,English
One Hundred Men and a Girl,1937-09-05,"$762,000 or $733,000","$2,270,200",85,English
The Life of Emile Zola,1937-08-11,,,116,English
The Awful Truth,1937-10-21,"$600,000 ($13.1 million in 2024 dollars)",Over $3 million,91,English
Captains Courageous,1937-05-11,$1.6 million,$3.1 million,117,English
Stage Door,1937-10-08,"$952,000",$1.8 million,92,English
A Star Is Born,1937-04-20,$1.2 million,$2.37 million,111,English
The Private Life of the Gannets,1934,,,10,English
A Night at the Movies,1937-11-06,,,10,English
Romance of Radium,1937-10-23,,,10,English
Torture Money,1937-01-02,,,21,English
Deep South,1937,,,,English
Should Wives Work?,1937-09-10,,,20,English
Penny Wisdom,1937-04-10,,,10,English
The Man Without a Country,1937-11-27,,,21,English
The Old Mill,1937-11-05,,,9,English
Educated Fish,1937-10-29,,,7,English
One Hundred Men and a Girl,1937-09-05,"$762,000 or $733,000","$2,270,200",85,English
The Hurricane,1937-11-09,$2 million (estimated),$3.2 million,110,English
In Old Chicago,1938-01-06,over $1 million,$1.964 million,96,English
The Life of Emile Zola,1937-08-11,,,116,English
Lost Horizon,1937-03-02,$2 million,$3.5 million,132,English
Make a Wish,1937-08-27,,,77,English
Maytime,1937-03-26,"$2,126,000","$2,183,000  $1,823,000",132,English
Portia on Trial,1937-11-08,,,72,English
The Prisoner of Zenda,1937-09-02,"$1,250,000",$2.5 million,101,English
Quality Street,1937-03-26,,,83,English
Snow White and the Seven Dwarfs,1937-12-21,$1.5 million,$418 million,83,English
Something to Sing About,1937-09-30,"$900,000 ($14.8 million in 2015)",,93,English
Souls at Sea,1937-08-09,,,92,English
Way Out West,1937-04-16,,,1,English
Waikiki Wedding,1937-03-23,,$2 million,89,English
Mr. Dodd Takes the Air,1937-08-21,,,87,English
Vogues of 1938,1937-08-12,"$1,048,435","$1,089,956",109,English
Shall We Dance,1937-05-07,"$991,000","$2,168,000",109,English
Artists and Models,1937-08-04,$1 million,,97,English
The Hurricane,1937-11-09,$2 million (estimated),$3.2 million,110,English
The Girl Said No,1937-10-15,,,76,English
Hitting a New High,1937-12-24,"$727,000","$488,000",85,English
In Old Chicago,1938-01-06,over $1 million,$1.964 million,96,English
The Life of Emile Zola,1937-08-11,,,116,English
Lost Horizon,1937-03-02,$2 million,$3.5 million,132,English
Maytime,1937-03-26,"$2,126,000","$2,183,000  $1,823,000",132,English
One Hundred Men and a Girl,1937-09-05,"$762,000 or $733,000","$2,270,200",85,English
Topper,1937-07-16,"$500,000 (proposed)",$2 million,97,English
Wells Fargo,1937-12-31,$1.5 million,,97,English
Lost Horizon,1937-03-02,$2 million,$3.5 million,132,English
Conquest,1937-10-22,"$2,732,000","$2,141,000",113,English
A Damsel in Distress,1937-11-19,"$1,035,000","$1,465,000",98,English
Dead End,1937-08-27,"$900,000 (est)",,93,English
Every Day's a Holiday,1937-12-18,,,80,English
The Life of Emile Zola,1937-08-11,,,116,English
Manhattan Merry-Go-Round,1937-11-26,,,89,English
The Prisoner of Zenda,1937-09-02,"$1,250,000",$2.5 million,101,English
Souls at Sea,1937-08-09,,,92,English
Vogues of 1938,1937-08-12,"$1,048,435","$1,089,956",109,English
Wee Willie Winkie,1937-06-25,over $1 million,,100,English
You're a Sweetheart,1937-12-26,"$800,000",,96,English
The Good Earth,1937-01-29,"$2,816,000","$3,557,000",138,English
Dead End,1937-08-27,"$900,000 (est)",,93,English
Wings over Honolulu,1937-05-16,,,78,English
Lost Horizon,1937-03-02,$2 million,$3.5 million,132,English
The Awful Truth,1937-10-21,"$600,000 ($13.1 million in 2024 dollars)",Over $3 million,91,English
Captains Courageous,1937-05-11,$1.6 million,$3.1 million,117,English
The Good Earth,1937-01-29,"$2,816,000","$3,557,000",138,English
One Hundred Men and a Girl,1937-09-05,"$762,000 or $733,000","$2,270,200",85,English
A Damsel in Distress,1937-11-19,"$1,035,000","$1,465,000",98,English
Ali Baba Goes to Town,1937-10-29,,,80,English
A Day at the Races,1937-06-11,"$2,016,000","$2,305,000",109,English
"Ready, Willing, and Able",1937-03-06,,,93,English
Thin Ice,1937-09-03,,$1.59 million,79,English
Varsity Show,1937-10-04,over $1 million,,121,English
Waikiki Wedding,1937-03-23,,$2 million,89,English
In Old Chicago,1938-01-06,over $1 million,$1.964 million,96,English
Lost Horizon,1937-03-02,$2 million,$3.5 million,132,English
The Life of Emile Zola,1937-08-11,,,116,English
Souls at Sea,1937-08-09,,,92,English
A Star Is Born,1937-04-20,$1.2 million,$2.37 million,111,English
You Can't Take It with You,1938-08-23,"US$1,644,736 (est.)","US$2,137,575  US$5,295,526",126,English
The Adventures of Robin Hood,1938-05-14,"$2,033,000","$3,981,000",102,English
Alexander's Ragtime Band,1938-08-05,"$1,200,000 –$2,275,000",$3.6 million,106,English
Boys Town,1938-09-09,"$772,000","$4,058,000",93,English
The Citadel,1938-11-03,"$1,012,000 or £222,386","$2,598,000",110,English
Four Daughters,1938-08-09,,,90,English
La Grande Illusion,1937-06-08,,"$414,620",114,French
Jezebel,1938-03-10,$1.25 million,,103,English
Pygmalion,1938-10-06,"£87,000",$1.4 million,96,English
Test Pilot,1938-04-15,$1.7 million,$3.9 million,118,English
You Can't Take It with You,1938-08-23,"US$1,644,736 (est.)","US$2,137,575  US$5,295,526",126,English
Angels with Dirty Faces,1938-11-26,,$1.7 million,97,English
Boys Town,1938-09-09,"$772,000","$4,058,000",93,English
The Citadel,1938-11-03,"$1,012,000 or £222,386","$2,598,000",110,English
Four Daughters,1938-08-09,,,90,English
Boys Town,1938-09-09,"$772,000","$4,058,000",93,English
Algiers,1938-08-05,"$691,833","$951,801",99,English
Angels with Dirty Faces,1938-11-26,,$1.7 million,97,English
The Citadel,1938-11-03,"$1,012,000 or £222,386","$2,598,000",110,English
Pygmalion,1938-10-06,"£87,000",$1.4 million,96,English
Jezebel,1938-03-10,$1.25 million,,103,English
White Banners,1938-06-22,,,92,English
Pygmalion,1938-10-06,"£87,000",$1.4 million,96,English
Marie Antoinette,1938-07-08,"$2,926,000","$2,956,000",150,English
Three Comrades,1938-06-02,"$839,000","$2,043,000",100,English
Kentucky,1938-12-30,,,96,English
Four Daughters,1938-08-09,,,90,English
Algiers,1938-08-05,"$691,833","$951,801",99,English
Marie Antoinette,1938-07-08,"$2,926,000","$2,956,000",150,English
If I Were King,1938-11-11,over $1 million,,101,English
Jezebel,1938-03-10,$1.25 million,,103,English
Of Human Hearts,1938-02-11,,,103,English
Merrily We Live,1938-02-08,,,95,English
You Can't Take It with You,1938-08-23,"US$1,644,736 (est.)","US$2,137,575  US$5,295,526",126,English
The Great Waltz,1938-11-04,"$2,260,000","$2,422,000",104,English
Boys Town,1938-09-09,"$772,000","$4,058,000",93,English
Alexander's Ragtime Band,1938-08-05,"$1,200,000 –$2,275,000",$3.6 million,106,English
Angels with Dirty Faces,1938-11-26,,$1.7 million,97,English
Blockade,1938-06-16,"$692,087","$665,523",85,English
Mad About Music,1938-02-01,"$858,000",,100,English
Test Pilot,1938-04-15,$1.7 million,$3.9 million,118,English
Pygmalion,1938-10-06,"£87,000",$1.4 million,96,English
Boys Town,1938-09-09,"$772,000","$4,058,000",93,English
The Citadel,1938-11-03,"$1,012,000 or £222,386","$2,598,000",110,English
Four Daughters,1938-08-09,,,90,English
You Can't Take It with You,1938-08-23,"US$1,644,736 (est.)","US$2,137,575  US$5,295,526",126,English
That Mothers Might Live,1938-04-30,,,10,English
The Great Heart,1938-12-31,,,11,English
Timber Toppers,1938,,,,English
Declaration of Independence,1938-11-26,,,17,English
Swingtime in the Movies,1938-12-24,,,20,English
They're Always Caught,1938-07-03,,,22,English
Ferdinand the Bull,1938-11-25,,,7,English
Brave Little Tailor,1938-09-23,,,9,English
Good Scouts,1938-07-08,,,8,English
Mother Goose Goes Hollywood,1938-12-23,,,7,English
The Adventures of Robin Hood,1938-05-14,"$2,033,000","$3,981,000",102,English
Army Girl,1938-08-11,,,80,English
Block-Heads,1938-08-19,,,55,English
Blockade,1938-06-16,"$692,087","$665,523",85,English
Breaking the Ice,1938-08-26,,,81,English
The Cowboy and the Lady,1938-11-17,"$1,500,000 (estimated)",,91,English
If I Were King,1938-11-11,over $1 million,,101,English
Marie Antoinette,1938-07-08,"$2,926,000","$2,956,000",150,English
Pacific Liner,1939-01-06,"$241,000","$508,000",76,English
Suez,1938-10-28,over $1 million,,104,English
The Young in Heart,1938-11-03,,,90,English
Alexander's Ragtime Band,1938-08-05,"$1,200,000 –$2,275,000",$3.6 million,106,English
Carefree,1938-09-02,"$1,253,000","$1,731,000",83,English
Girls' School,1938-09-30,,,72,English
The Goldwyn Follies,1938-02-04,$2 million,,122,English
Jezebel,1938-03-10,$1.25 million,,103,English
Mad About Music,1938-02-01,"$858,000",,100,English
Storm Over Bengal,1938-11-14,,,65,English
Sweethearts,1938-12-22,$1.9 million,$2 million  $1.2 million,114,English
There Goes My Heart,1938-10-14,$1 million,"$410,700",81,English
Tropic Holiday,1938-07-01,,,78,English
The Young in Heart,1938-11-03,,,90,English
The Big Broadcast of 1938,1938-02-11,over $1 million,,,English
Mannequin,1937-12-14,"$595,000","$1,634,000",95,English
Carefree,1938-09-02,"$1,253,000","$1,731,000",83,English
The Cowboy and the Lady,1938-11-17,"$1,500,000 (estimated)",,91,English
Under Western Stars,1938-04-20,,,65,English
Going Places,1938-12-31,,,84,English
Merrily We Live,1938-02-08,,,95,English
The Lady Objects,1938-10-12,,,66,English
That Certain Age,1938-10-07,$1 million,$2 million,95,English
Alexander's Ragtime Band,1938-08-05,"$1,200,000 –$2,275,000",$3.6 million,106,English
The Cowboy and the Lady,1938-11-17,"$1,500,000 (estimated)",,91,English
Army Girl,1938-08-11,,,80,English
Four Daughters,1938-08-09,,,90,English
If I Were King,1938-11-11,over $1 million,,101,English
Merrily We Live,1938-02-08,,,95,English
Suez,1938-10-28,over $1 million,,104,English
Sweethearts,1938-12-22,$1.9 million,$2 million  $1.2 million,114,English
That Certain Age,1938-10-07,$1 million,$2 million,95,English
Vivacious Lady,1938-05-13,"$703,000","$1,206,000",90,English
You Can't Take It with You,1938-08-23,"US$1,644,736 (est.)","US$2,137,575  US$5,295,526",126,English
The Adventures of Robin Hood,1938-05-14,"$2,033,000","$3,981,000",102,English
The Adventures of Tom Sawyer,1938-02-17,$1.5 million,$2 million,91,English
Alexander's Ragtime Band,1938-08-05,"$1,200,000 –$2,275,000",$3.6 million,106,English
Algiers,1938-08-05,"$691,833","$951,801",99,English
Carefree,1938-09-02,"$1,253,000","$1,731,000",83,English
The Goldwyn Follies,1938-02-04,$2 million,,122,English
Holiday,1938-06-15,,,95,English
If I Were King,1938-11-11,over $1 million,,101,English
Mad About Music,1938-02-01,"$858,000",,100,English
Marie Antoinette,1938-07-08,"$2,926,000","$2,956,000",150,English
Merrily We Live,1938-02-08,,,95,English
The Great Waltz,1938-11-04,"$2,260,000","$2,422,000",104,English
Algiers,1938-08-05,"$691,833","$951,801",99,English
Army Girl,1938-08-11,,,80,English
The Buccaneer,1938-02-04,over $1 million,$2 million,126,English
Jezebel,1938-03-10,$1.25 million,,103,English
Mad About Music,1938-02-01,"$858,000",,100,English
Merrily We Live,1938-02-08,,,95,English
Suez,1938-10-28,over $1 million,,104,English
Vivacious Lady,1938-05-13,"$703,000","$1,206,000",90,English
You Can't Take It with You,1938-08-23,"US$1,644,736 (est.)","US$2,137,575  US$5,295,526",126,English
The Young in Heart,1938-11-03,,,90,English
The Adventures of Robin Hood,1938-05-14,"$2,033,000","$3,981,000",102,English
Alexander's Ragtime Band,1938-08-05,"$1,200,000 –$2,275,000",$3.6 million,106,English
The Great Waltz,1938-11-04,"$2,260,000","$2,422,000",104,English
Test Pilot,1938-04-15,$1.7 million,$3.9 million,118,English
You Can't Take It with You,1938-08-23,"US$1,644,736 (est.)","US$2,137,575  US$5,295,526",126,English
Gone with the Wind,1939-12-15,$3.85 million,>$390 million,221,English
Dark Victory,1939-04-22,$1 million (est),,104,English
"Goodbye, Mr. Chips",1939-05-15,"$1,051,000 or £243,340","$3,252,000",114,English
Love Affair,1939-04-07,"$860,000",$1.8 million,87,English
Mr. Smith Goes to Washington,1939-10-17,$1.5 million,$9 million,125,English
Ninotchka,1939-11-09,$1.4 million ( est. ),$2.3 million,110,English
Of Mice and Men,1939-12-30,"$336,524","$676,292",107,English
Stagecoach,1939-02-02,"$531,374","$1,103,757",96,English
The Wizard of Oz,1939-08-10,$2.8 million,$29.7 million,102,English
Wuthering Heights,1939-03-24,,"$624,643",103,English
Gone with the Wind,1939-12-15,$3.85 million,>$390 million,221,English
"Goodbye, Mr. Chips",1939-05-15,"$1,051,000 or £243,340","$3,252,000",114,English
Mr. Smith Goes to Washington,1939-10-17,$1.5 million,$9 million,125,English
Stagecoach,1939-02-02,"$531,374","$1,103,757",96,English
Wuthering Heights,1939-03-24,,"$624,643",103,English
"Goodbye, Mr. Chips",1939-05-15,"$1,051,000 or £243,340","$3,252,000",114,English
Gone with the Wind,1939-12-15,$3.85 million,>$390 million,221,English
Wuthering Heights,1939-03-24,,"$624,643",103,English
Mr. Smith Goes to Washington,1939-10-17,$1.5 million,$9 million,125,English
Gone with the Wind,1939-12-15,$3.85 million,>$390 million,221,English
Dark Victory,1939-04-22,$1 million (est),,104,English
Love Affair,1939-04-07,"$860,000",$1.8 million,87,English
Ninotchka,1939-11-09,$1.4 million ( est. ),$2.3 million,110,English
"Goodbye, Mr. Chips",1939-05-15,"$1,051,000 or £243,340","$3,252,000",114,English
Stagecoach,1939-02-02,"$531,374","$1,103,757",96,English
Juarez,1939-04-24,,,125,English
Mr. Smith Goes to Washington,1939-10-17,$1.5 million,$9 million,125,English
Beau Geste,1939-07-24,,,112,English
Mr. Smith Goes to Washington,1939-10-17,$1.5 million,$9 million,125,English
Gone with the Wind,1939-12-15,$3.85 million,>$390 million,221,English
Gone with the Wind,1939-12-15,$3.85 million,>$390 million,221,English
Wuthering Heights,1939-03-24,,"$624,643",103,English
Drums Along the Mohawk,1939-11-02,over $2 million,$1.558 million,104,English
Love Affair,1939-04-07,"$860,000",$1.8 million,87,English
Mr. Smith Goes to Washington,1939-10-17,$1.5 million,$9 million,125,English
Bachelor Mother,1939-06-30,"$509,000","$1,975,000",82,English
Love Affair,1939-04-07,"$860,000",$1.8 million,87,English
Ninotchka,1939-11-09,$1.4 million ( est. ),$2.3 million,110,English
Young Mr. Lincoln,1939-06-09,"$1,500,000 (estimated)",,100,English
Gone with the Wind,1939-12-15,$3.85 million,>$390 million,221,English
"Goodbye, Mr. Chips",1939-05-15,"$1,051,000 or £243,340","$3,252,000",114,English
Mr. Smith Goes to Washington,1939-10-17,$1.5 million,$9 million,125,English
Ninotchka,1939-11-09,$1.4 million ( est. ),$2.3 million,110,English
Wuthering Heights,1939-03-24,,"$624,643",103,English
Busy Little Bears,1939-04-20,,,10,English
Prophet Without Honor,1939-05-20,,,11,English
Sword Fishing,1939-10-21,,,10,English
Sons of Liberty,1939-05-20,,,20,English
Drunk Driving,1939-10-28,,,22,English
Five Times Five,1939-07-19,,,20,English
The Ugly Duckling,1939-04-07,,,8,English
Detouring America,1939-08-26,,,7,English
Peace on Earth,1939-12-09,,,9,English
The Pointer,1939-07-21,,,9,English
Stagecoach,1939-02-02,"$531,374","$1,103,757",96,English
Babes in Arms,1939-09-15,"$745,341","$3,335,000",93,English
First Love,1939-11-10,"over $1 million or $990,000",,84,English
